"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"475","Tata Chemicals Limited","TATACHEM","P&F | F.A","-0.02%","1065.45","131,842"
"540","Nazara Technologies Ltd","NAZARA","P&F | F.A","-0.02%","906.45","113,685"
"59","NIFTYMIDSELECT","NIFTYMIDSELECT","P&F | F.A","-0.03%","12456.2","0"
"132","L&t Technology Services Limited","LTTS","P&F | F.A","-0.03%","5054.55","48,116"
"465","Credit Analysis And Research Limited","CARERATING","P&F | F.A","-0.03%","1095.75","17,577"
"812","Websol Energy System Limited","WEBELSOLAR","P&F | F.A","-0.03%","548","51,584"
"971","UTI Nifty IT ETF","NIFITETF","P&F | F.A","-0.03%","394.18","1,352"
"1280","UTI Nifty Midcap 150 ETF","NIFMID150","P&F | F.A","-0.03%","213.93","189"
"1368","Robust Hotels Pvt Ltd","RHL","P&F | F.A","-0.03%","172.98","4,457"
"1552","Balaxi Ventures Ltd","BALAXI","P&F | F.A","-0.03%","114.41","4,279"
"1593","Allcargo Gati Ltd","ACLGATI","P&F | F.A","-0.03%","99.8","191,779"
"28","NIFTYMICROCAP250","NIFTYMICROCAP250","P&F | F.A","-0.04%","23957.35","0"
"294","Shriram Pistons & Rings Limited","SHRIPISTON","P&F | F.A","-0.04%","1873.95","14,083"
"479","Container Corporation Of India Limited","CONCOR","P&F | F.A","-0.04%","1057","497,500"
"1236","ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF","GSEC10IETF","P&F | F.A","-0.04%","233","9"
"1800","Filatex India Limited","FILATEX","P&F | F.A","-0.04%","55.59","242,064"
"232","Vindhya Telelinks Limited","VINDHYATEL","P&F | F.A","-0.05%","2520.05","5,943"
"1501","Times Guaranty Limited","TIMESGTY","P&F | F.A","-0.05%","130.79","446"
"1509","Yatra Online Ltd","YATRA","P&F | F.A","-0.05%","126.25","15,891"
"1571","Motilal Oswal Nifty Realty ETF","MOREALTY","P&F | F.A","-0.05%","109.5","106,017"
"207","Swaraj Engines Limited","SWARAJENG","P&F | F.A","-0.06%","2871.25","1,599"
"239","Srf Limited","SRF","P&F | F.A","-0.06%","2388.9","31,477"
"268","Arman Financial Services Limited","ARMANFIN","P&F | F.A","-0.06%","2063.45","4,054"
"376","Ador Welding Limited","ADORWELD","P&F | F.A","-0.06%","1449.45","9,690"
"552","NIFTYGS10YRCLN","NIFTYGS10YRCLN","P&F | F.A","-0.06%","878.67","0"
"647","Pearl Global Industries Limited","PGIL","P&F | F.A","-0.06%","732.6","23,959"
"854","Siyaram Silk Mills Limited","SIYSIL","P&F | F.A","-0.06%","510.55","20,572"
"1131","Amines & Plasticizers Ltd","AMNPLST","P&F | F.A","-0.07%","283","8,484"
"1141","Nureca Ltd","NURECA","P&F | F.A","-0.07%","275.1","3,885"
"1595","HP Adhesives Ltd","HPAL","P&F | F.A","-0.07%","99.2","45,905"
"1796","Nippon India ETF 5 Year Gilt","GILT5YBEES","P&F | F.A","-0.07%","56.46","143,041"
"607","India Nippon Electricals Limited","INDNIPPON","P&F | F.A","-0.08%","794","8,970"
"677","Arvind Smartspaces Limited","ARVSMART","P&F | F.A","-0.08%","695.25","6,863"
"1421","Kronox Lab Sciences Ltd","KRONOX","P&F | F.A","-0.08%","153.38","82,021"
"362","Torrent Power Limited","TORNTPOWER","P&F | F.A","-0.09%","1508.75","25,444"
"718","AU Small Finance Bank","AUBANK","P&F | F.A","-0.09%","643.25","418,686"
"938","Kabra Extrusion Technik Limited","KABRAEXTRU","P&F | F.A","-0.09%","427.8","46,829"
"1293","Redington (india) Limited","REDINGTON","P&F | F.A","-0.09%","207.92","241,150"
"86","Siemens Limited","SIEMENS","P&F | F.A","-0.1%","7606.1","69,813"
"180","Data Patterns (India) Ltd","DATAPATTNS","P&F | F.A","-0.1%","3347.1","158,443"
"1188","Castrol India Limited","CASTROLIND","P&F | F.A","-0.1%","251.32","2,089,022"
"1547","Mufin Green Finance Ltd","MUFIN","P&F | F.A","-0.1%","115.84","16,379"
"104","Tata Investment Corporation Limited","TATAINVEST","P&F | F.A","-0.11%","6510.9","6,534"
"304","The Anup Engineering Ltd","ANUP","P&F | F.A","-0.11%","1787.2","8,329"
"403","Ami Organics Ltd","AMIORG","P&F | F.A","-0.11%","1371.4","37,873"
"425","United Spirits Ltd","UNITDSPR","P&F | F.A","-0.11%","1288.2","95,995"
"973","Orient Bell Limited","ORIENTBELL","P&F | F.A","-0.11%","393.25","26,083"
"1012","Skipper Limited","SKIPPER","P&F | F.A","-0.11%","362.5","143,451"
"1646","HDFC S&P BSE Sensex ETF","HDFCSENSEX","P&F | F.A","-0.11%","89.25","5,831"
"177","Larsen & Toubro Limited","LT","P&F | F.A","-0.12%","3644.8","253,729"
"454","Tatva Chintan Pharma Chem Ltd","TATVA","P&F | F.A","-0.12%","1151.45","4,203"
"824","Axis Banking ETF","AXISBNKETF","P&F | F.A","-0.12%","534.25","88"
"1198","Skm Egg Products Export (india) Limited","SKMEGGPROD","P&F | F.A","-0.12%","247.7","41,446"
"661","Jsw Energy Limited","JSWENERGY","P&F | F.A","-0.13%","712.2","605,458"
"1333","Nbcc (india) Limited","NBCC","P&F | F.A","-0.13%","189.55","8,068,903"
"1537","Idfc Limited","IDFC","P&F | F.A","-0.13%","117.5","1,071,667"
"1587","Sarla Performance Fibers Limited","SARLAPOLY","P&F | F.A","-0.13%","101.16","184,183"
"1711","Edelweiss Gold ETF","EGOLD","P&F | F.A","-0.13%","74.9","1,223"
"1822","Murudeshwar Ceramics Limited","MURUDCERA","P&F | F.A","-0.13%","52.18","66,078"
"518","Kaveri Seed Company Limited","KSCL","P&F | F.A","-0.14%","972.65","19,419"
"836","Mirae Asset Nifty Bank ETF","BANKETF","P&F | F.A","-0.14%","526.71","881"
"869","Pricol Ltd.","PRICOLLTD","P&F | F.A","-0.14%","497.65","90,324"
"964","General Insurance Corporation of India","GICRE","P&F | F.A","-0.14%","402","628,798"
"1002","Dynemic Products Ltd","DYNPRO","P&F | F.A","-0.14%","369.3","6,267"
"1350","Rudrabhishek Enterprises Ltd","REPL","P&F | F.A","-0.14%","180.53","5,679"
"1541","Aym Syntex Limited","AYMSYNTEX","P&F | F.A","-0.14%","116.67","10,452"
"1600","Tamilnadu Petroproducts Limited","TNPETRO","P&F | F.A","-0.14%","97.5","176,159"
"1679","Meghmani Organics Ltd","MOL","P&F | F.A","-0.14%","80.69","229,652"
"307","R R Kabel Ltd","RRKABEL","P&F | F.A","-0.15%","1772.6","32,687"
"434","Icici Bank Limited","ICICIBANK","P&F | F.A","-0.15%","1231.05","1,937,203"
"482","Indian Railway Catering & Tourism Corporation Ltd","IRCTC","P&F | F.A","-0.15%","1041.5","833,179"
"1045","Kilitch Drugs (india) Limited","KILITCH","P&F | F.A","-0.15%","337.85","1,758"
"1154","Tata Nifty Private Bank ETF","NPBET","P&F | F.A","-0.15%","268.32","34"
"1203","Sms Pharmaceuticals Limited","SMSPHARMA","P&F | F.A","-0.15%","246.58","96,848"
"1278","Chamanlal Setia Exports Ltd","CLSEL","P&F | F.A","-0.15%","215.99","46,946"
"1819","Bajaj Finserv Nifty Bank ETF","BANKBETF","P&F | F.A","-0.15%","52.5","9,211"
"22","NIFTYPVTBANK","NIFTYPVTBANK","P&F | F.A","-0.16%","26105.45","0"
"92","Jsw Holdings Limited","JSWHL","P&F | F.A","-0.16%","7044.95","827"
"138","Persistent Systems Limited","PERSISTENT","P&F | F.A","-0.16%","4800.65","135,012"
"183","Gujarat Fluorochemicals Ltd","FLUOROCHEM","P&F | F.A","-0.16%","3249.4","14,040"
"1619","Axis Silver ETF","AXISILVER","P&F | F.A","-0.16%","93.29","12,793"
"1733","Mukta Arts Limited","MUKTAARTS","P&F | F.A","-0.16%","70.21","1,826"
"334","Hdfc Bank Limited","HDFCBANK","P&F | F.A","-0.17%","1620","3,800,044"
"564","Butterfly Gandhimathi Appliances Limited","BUTTERFLY","P&F | F.A","-0.17%","853.3","4,279"
"606","Five Star Business Finance Ltd","FIVESTAR","P&F | F.A","-0.17%","794.8","118,419"
"692","JSFB","JSFB","P&F | F.A","-0.17%","674.25","14,045"
"1065","Ncc Limited","NCC","P&F | F.A","-0.17%","326.15","1,335,353"
"1328","S H Kelkar And Company Limited","SHK","P&F | F.A","-0.17%","191","52,053"
"693","Medplus Health Services Ltd","MEDPLUS","P&F | F.A","-0.18%","672.3","18,137"
"929","Federal-mogul Goetze (india) Limited.","FMGOETZE","P&F | F.A","-0.18%","433.5","100,481"
"1395","NIFTY50TR1XINV","NIFTY50TR1XINV","P&F | F.A","-0.18%","165.8","0"
"1432","Foods & Inns Ltd","FOODSIN","P&F | F.A","-0.18%","149.72","30,493"
"241","Balaji Amines Limited","BALAMINES","P&F | F.A","-0.19%","2356.4","17,017"
"569","Jindal Poly Investment And Finance Company Limited","JPOLYINVST","P&F | F.A","-0.19%","847.8","2,708"
"895","Kiocl Limited","KIOCL","P&F | F.A","-0.19%","465.35","89,908"
"1044","Sirca Paints India Ltd","SIRCA","P&F | F.A","-0.19%","338.15","17,655"
"418","Dynacons Systems & Solutions Limited","DSSL","P&F | F.A","-0.2%","1325.6","9,386"
"753","Ig Petrochemicals Limited","IGPL","P&F | F.A","-0.2%","603.8","16,762"
"858","Dic India Limited","DICIND","P&F | F.A","-0.2%","507","1,347"
"1254","Aditya Birla Capital Ltd","ABCAPITAL","P&F | F.A","-0.2%","224.3","2,405,852"
"1298","Star Cement Ltd","STARCEMENT","P&F | F.A","-0.2%","204.51","88,832"
"1308","NIFTY50PR1XINV","NIFTY50PR1XINV","P&F | F.A","-0.2%","199.25","0"
"1440","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","-0.2%","147.49","299,899"
"1527","Bank Of India","BANKINDIA","P&F | F.A","-0.2%","120.05","1,780,798"
"1603","Hindustan Media Ventures Limited","HMVL","P&F | F.A","-0.2%","97","14,889"
"1632","Archidply Decor Ltd","ADL","P&F | F.A","-0.2%","91","3,297"
"201","Hil Limited","HIL","P&F | F.A","-0.21%","2914","1,874"
"637","RPSG Ventures Ltd","RPSGVENT","P&F | F.A","-0.21%","751","30,221"
"843","Pnc Infratech Limited","PNCINFRA","P&F | F.A","-0.21%","521.9","262,799"
"877","Iifl Holdings Limited","IIFL","P&F | F.A","-0.21%","489.7","414,435"
"995","Kapston Facilities Management Ltd","KAPSTON","P&F | F.A","-0.21%","379","293"
"1020","Tvs Electronics Limited","TVSELECT","P&F | F.A","-0.21%","356.75","22,803"
"1476","Sintercom India Ltd","SINTERCOM","P&F | F.A","-0.21%","136.01","946"
"1493","Dolat Algotech Ltd","DOLATALGO","P&F | F.A","-0.21%","133.08","206,721"
"1698","Rajshree Sugars & Chemicals Limited","RAJSREESUG","P&F | F.A","-0.21%","77.32","89,760"
"283","Dalmia Bharat Limited","DALBHARAT","P&F | F.A","-0.22%","1929.4","247,979"
"471","Go Fashion (India) Ltd","GOCOLORS","P&F | F.A","-0.22%","1079","113,444"
"589","S. P. Apparels Limited","SPAL","P&F | F.A","-0.22%","828.8","4,816"
"748","Stove Kraft Ltd","STOVEKRAFT","P&F | F.A","-0.22%","610.75","32,372"
"131","Pilani Investment And Industries Corporation Limited","PILANIINVS","P&F | F.A","-0.23%","5078","2,076"
"752","Matrimony.com Ltd","MATRIMONY","P&F | F.A","-0.23%","604.95","9,021"
"1338","Indo Borax & Chemicals Ltd","INDOBORAX","P&F | F.A","-0.23%","187","34,163"
"1406","Mukand Limited","MUKANDLTD","P&F | F.A","-0.23%","159.32","59,927"
"1470","Bpl Limited","BPL","P&F | F.A","-0.23%","136.69","153,836"
"619","Jindal Stainless Limited","JSL","P&F | F.A","-0.24%","781.45","108,968"
"1030","Rushil Decor Limited","RUSHIL","P&F | F.A","-0.24%","347.65","24,065"
"1182","Gujarat State Fertilizers & Chemicals Limited","GSFC","P&F | F.A","-0.24%","252.95","991,108"
"1284","India Pesticides Ltd","IPL","P&F | F.A","-0.24%","211.99","91,292"
"528","Jsw Steel Limited","JSWSTEEL","P&F | F.A","-0.25%","932.05","324,334"
"1491","Satia Industries Ltd","SATIA","P&F | F.A","-0.25%","133.23","93,051"
"1724","DSP Gold ETF","GOLDETFADD","P&F | F.A","-0.25%","72.51","2,972"
"1818","HMA Agro Industries Ltd","HMAAGRO","P&F | F.A","-0.25%","52.5","73,473"
"426","Albert David Limited","ALBERTDAVD","P&F | F.A","-0.26%","1286.45","2,165"
"456","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","-0.26%","1149.2","252,383"
"534","Transport Corporation Of India Limited","TCI","P&F | F.A","-0.26%","920","13,617"
"968","Optiemus Infracom Ltd","OPTIEMUS","P&F | F.A","-0.26%","397.35","61,940"
"1104","MMP Industries Ltd","MMP","P&F | F.A","-0.26%","302.95","20,126"
"1483","Mitcon Consultancy & Engineering Services Ltd","MITCON","P&F | F.A","-0.26%","134.15","21,880"
"1734","Advani Hotels & Resorts (india) Limited","ADVANIHOTR","P&F | F.A","-0.26%","69.88","26,051"
"346","The Sandesh Limited","SANDESH","P&F | F.A","-0.27%","1573.3","1,707"
"380","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","-0.27%","1440","231,075"
"730","Chembond Chemicals Ltd","CHEMBOND","P&F | F.A","-0.27%","630.8","4,660"
"170","Escorts Limited","ESCORTS","P&F | F.A","-0.28%","3904.75","36,344"
"980","Choice International Ltd","CHOICEIN","P&F | F.A","-0.28%","386.35","213,396"
"1049","Nrb Bearing Limited","NRBBEARING","P&F | F.A","-0.28%","336.35","26,308"
"1153","Ugro Capital Ltd","UGROCAP","P&F | F.A","-0.28%","268.65","39,270"
"1625","SBI Silver ETF","SBISILVER","P&F | F.A","-0.28%","92","15,509"
"1694","Bodal Chemicals Limited","BODALCHEM","P&F | F.A","-0.28%","78.02","234,545"
"544","Wonderla Holidays Limited","WONDERLA","P&F | F.A","-0.29%","898.1","9,674"
"785","Greenlam Industries Limited","GREENLAM","P&F | F.A","-0.29%","570.4","7,899"
"923","Tara Chand Logistic Solutions Ltd","TARACHAND","P&F | F.A","-0.29%","437","4,887"
"1737","Arihant Capital Markets Ltd","ARIHANTCAP","P&F | F.A","-0.29%","68.92","124,670"
"1824","Baroda BNP Paribas Nifty Bank ETF","BBNPNBETF","P&F | F.A","-0.29%","51.98","1,437"
"340","Bajaj Finserv Limited","BAJAJFINSV","P&F | F.A","-0.3%","1592.5","139,275"
"386","Affle India Ltd","AFFLE","P&F | F.A","-0.3%","1419.9","96,341"
"443","Jyoti CNC Automation Ltd","JYOTICNC","P&F | F.A","-0.3%","1207.15","37,585"
"834","Moil Limited","MOIL","P&F | F.A","-0.3%","527.05","429,767"
"1057","La Opala Rg Limited","LAOPALA","P&F | F.A","-0.3%","331.4","23,328"
"1221","Adf Foods Limited","ADFFOODS","P&F | F.A","-0.3%","239.99","81,474"
"1760","Iris Clothings Ltd","IRISDOREME","P&F | F.A","-0.3%","63.67","30,794"
"155","Aia Engineering Limited","AIAENG","P&F | F.A","-0.31%","4237.8","4,894"
"896","One 97 Communications Ltd","PAYTM","P&F | F.A","-0.31%","464.5","1,027,514"
"1116","Sreeleathers Limited","SREEL","P&F | F.A","-0.31%","292.9","3,865"
"1119","BAJEL","BAJEL","P&F | F.A","-0.31%","291","153,035"
"1359","Orbit Exports Limited","ORBTEXP","P&F | F.A","-0.31%","176.77","1,073"
"1139","Kansai Nerolac Paints Limited","KANSAINER","P&F | F.A","-0.32%","277.2","135,330"
"1815","DSP Nifty Bank ETF","BANKETFADD","P&F | F.A","-0.32%","52.87","2,254"
"581","Bf Utilities Limited","BFUTILITIE","P&F | F.A","-0.33%","833.05","47,613"
"709","Steelcast Ltd","STEELCAS","P&F | F.A","-0.33%","655.9","13,414"
"1050","Time Technoplast Limited","TIMETECHNO","P&F | F.A","-0.33%","336.35","742,379"
"1275","20 Microns Limited","20MICRONS","P&F | F.A","-0.33%","217.65","52,705"
"1490","Ufo Moviez India Limited","UFO","P&F | F.A","-0.33%","133.31","67,790"
"1792","ICICI Prudential Nifty 5 Yr Benchmark G-Sec ETF","GSEC5IETF","P&F | F.A","-0.33%","56.7","11"
"311","Prestige Estates Projects Limited","PRESTIGE","P&F | F.A","-0.34%","1759.2","487,614"
"631","Sundaram Brake Linings Limited","SUNDRMBRAK","P&F | F.A","-0.34%","754.95","286"
"714","Chemfab Alkalis Ltd","CHEMFAB","P&F | F.A","-0.34%","652.2","8,659"
"915","Mahindra Holidays & Resorts India Limited","MHRIL","P&F | F.A","-0.34%","444.7","31,140"
"986","Dhunseri Ventures Ltd","DVL","P&F | F.A","-0.34%","383.35","47,662"
"1102","Dharmaj Crop Guard Ltd","DHARMAJ","P&F | F.A","-0.34%","303.65","56,141"
"1651","Munjal Auto Industries Limited","MUNJALAU","P&F | F.A","-0.34%","87.79","41,411"
"1745","Lotus Eye Care Hospital Limited","LOTUSEYE","P&F | F.A","-0.34%","67.38","80,787"
"430","Alicon Castalloy Limited","ALICON","P&F | F.A","-0.35%","1245.75","5,310"
"941","Triveni Engineering & Industries Limited","TRIVENI","P&F | F.A","-0.35%","424.6","772,207"
"85","Abb India Limited","ABB","P&F | F.A","-0.36%","8179.75","91,175"
"103","Bayer Cropscience Limited","BAYERCROP","P&F | F.A","-0.36%","6536.15","2,887"
"396","Sundram Fasteners Limited","SUNDRMFAST","P&F | F.A","-0.36%","1392.3","9,821"
"572","Nelco Limited","NELCO","P&F | F.A","-0.36%","841.25","53,391"
"770","Stanley Lifestyles Ltd","STANLEY","P&F | F.A","-0.36%","587.9","180,839"
"903","InfoBeans Technologies Ltd","INFOBEAN","P&F | F.A","-0.36%","458.55","16,640"
"962","Poonawalla Fincorp Ltd","POONAWALLA","P&F | F.A","-0.36%","402.9","364,117"
"1137","Bigbloc Construction Limited","BIGBLOC","P&F | F.A","-0.36%","278.63","69,477"
"1720","Paramount Communications Limited","PARACABLES","P&F | F.A","-0.36%","72.9","617,398"
"250","Garware Hi Tech Films Ltd","GRWRHITECH","P&F | F.A","-0.38%","2257","22,958"
"575","Wealth First Portfolio Managers Ltd","WEALTH","P&F | F.A","-0.38%","840.55","24,396"
"907","Sukhjit Starch & Chemicals Ltd","SUKHJITS","P&F | F.A","-0.38%","454.45","1,712"
"1479","Himatsingka Seide Limited","HIMATSEIDE","P&F | F.A","-0.38%","135.2","71,709"
"1601","Gmr Infrastructure Limited","GMRINFRA","P&F | F.A","-0.38%","97.37","6,898,267"
"93","Tata Elxsi Limited","TATAELXSI","P&F | F.A","-0.39%","7038","28,124"
"1099","Nahar Spinning Mills Limited","NAHARSPING","P&F | F.A","-0.39%","304.85","17,359"
"1148","Tamil Nadu Newsprint & Papers Limited","TNPL","P&F | F.A","-0.39%","269.55","52,953"
"624","Rites Ltd","RITES","P&F | F.A","-0.4%","768.45","1,688,824"
"664","Keystone Realtors Ltd","RUSTOMJEE","P&F | F.A","-0.4%","707.6","12,544"
"1074","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","-0.4%","321.9","860,637"
"1613","Jm Financial Limited","JMFINANCIL","P&F | F.A","-0.4%","93.68","1,055,798"
"1696","IDFC First Bank Ltd","IDFCFIRSTB","P&F | F.A","-0.4%","77.96","6,507,436"
"70","Bajaj Holdings & Investment Limited","BAJAJHLDNG","P&F | F.A","-0.41%","9862.55","8,187"
"81","Blue Dart Express Limited","BLUEDART","P&F | F.A","-0.41%","8434.6","4,079"
"127","Thermax Limited","THERMAX","P&F | F.A","-0.41%","5230.8","20,797"
"562","Wheels India Limited","WHEELS","P&F | F.A","-0.41%","856.2","21,420"
"932","Crompton Greaves Consumer Electricals Limited","CROMPTON","P&F | F.A","-0.41%","430","259,489"
"945","Eih Limited","EIHOTEL","P&F | F.A","-0.41%","421.9","80,057"
"1046","JSW Infrastructure Ltd","JSWINFRA","P&F | F.A","-0.41%","337.8","1,164,057"
"1211","Coastal Corporation Ltd","COASTCORP","P&F | F.A","-0.41%","244.89","11,637"
"1648","Mmtc Limited","MMTC","P&F | F.A","-0.41%","88.25","3,872,504"
"310","Thangamayil Jewellery Limited","THANGAMAYL","P&F | F.A","-0.42%","1760","6,256"
"423","Axis Bank Limited","AXISBANK","P&F | F.A","-0.42%","1311.75","1,355,093"
"1427","National Fertilizers Limited","NFL","P&F | F.A","-0.42%","152.08","3,787,481"
"1560","Som Distilleries & Breweries Limited","SDBL","P&F | F.A","-0.42%","112.23","336,184"
"128","Craftsman Automation Ltd","CRAFTSMAN","P&F | F.A","-0.43%","5228.6","17,936"
"654","Praj Industries Limited","PRAJIND","P&F | F.A","-0.43%","720.65","209,110"
"1801","Manaksia Steels Limited","MANAKSTEEL","P&F | F.A","-0.43%","55.22","25,067"
"102","Polycab India Ltd","POLYCAB","P&F | F.A","-0.44%","6551.95","73,728"
"600","Gandhi Special Tubes Limited","GANDHITUBE","P&F | F.A","-0.44%","808.5","1,862"
"611","Magadh Sugar & Energy Ltd","MAGADSUGAR","P&F | F.A","-0.44%","787","23,926"
"897","V-guard Industries Limited","VGUARD","P&F | F.A","-0.44%","464.4","105,844"
"936","Vidhi Specialty Food Ingredients","VIDHIING","P&F | F.A","-0.44%","428.6","3,303"
"1001","Bls International Services Limited","BLS","P&F | F.A","-0.44%","370.75","258,457"
"1063","Aptus Value Housing Finance India Ltd","APTUS","P&F | F.A","-0.44%","326.7","91,314"
"188","Reliance Industries Limited","RELIANCE","P&F | F.A","-0.45%","3179.2","912,141"
"820","Heritage Foods Limited","HERITGFOOD","P&F | F.A","-0.45%","536.95","107,124"
"1591","Modi Rubber Ltd","MODIRUBBER","P&F | F.A","-0.45%","100.06","62"
"1681","International Conveyors Ltd","INTLCONV","P&F | F.A","-0.45%","80.5","43,826"
"1708","Tera Software Ltd","TERASOFT","P&F | F.A","-0.45%","75.5","6,703"
"187","Titan Company Limited","TITAN","P&F | F.A","-0.46%","3214.95","441,073"
"627","Nava Ltd","NAVA","P&F | F.A","-0.46%","765.3","82,312"
"710","Bf Investment Limited","BFINVEST","P&F | F.A","-0.46%","655.1","17,447"
"1313","Consolidated Finvest & Holdings Limited","CONSOFINVT","P&F | F.A","-0.46%","197.38","7,590"
"1590","Mahamaya Steel Industries Limited","MAHASTEEL","P&F | F.A","-0.46%","100.51","6,459"
"1592","Aditya Birla Sun Life CRISIL Broad Based Gilt ETF","ABGSEC","P&F | F.A","-0.46%","100","200"
"703","Hindustan Zinc Limited","HINDZINC","P&F | F.A","-0.47%","661.55","116,346"
"1449","Cineline India Limited","CINELINE","P&F | F.A","-0.47%","142.67","22,657"
"529","Nesco Limited","NESCO","P&F | F.A","-0.48%","928.55","24,073"
"594","Control Print Limited","CONTROLPR","P&F | F.A","-0.48%","816.05","7,324"
"942","The United Nilgiri Tea Estates Company Limited","UNITEDTEA","P&F | F.A","-0.48%","424.05","665"
"1021","Nuvoco Vistas Corporation Ltd","NUVOCO","P&F | F.A","-0.48%","355.2","74,986"
"672","Elgi Equipments Limited","ELGIEQUIP","P&F | F.A","-0.49%","701","78,460"
"916","Rishabh Instruments Ltd","RISHABH","P&F | F.A","-0.49%","443.45","8,870"
"983","Bajaj Healthcare Ltd","BAJAJHCARE","P&F | F.A","-0.49%","384.8","94,434"
"1251","Madhya Bharat Agro Products Ltd","MBAPL","P&F | F.A","-0.49%","226.07","2,546"
"1283","Satin Creditcare Network Limited","SATIN","P&F | F.A","-0.49%","212.5","125,302"
"1297","GRM Overseas Ltd","GRMOVER","P&F | F.A","-0.49%","206.53","54,468"
"243","Tide Water Oil Company (india) Limited","TIDEWATER","P&F | F.A","-0.5%","2354.9","11,290"
"298","Yasho Industries Ltd","YASHO","P&F | F.A","-0.5%","1838.95","4,969"
"492","Uno Minda Ltd","UNOMINDA","P&F | F.A","-0.5%","1016.9","466,724"
"988","Geecee Ventures Limited","GEECEE","P&F | F.A","-0.5%","381.15","5,332"
"1747","Nova Agritech Ltd","NOVAAGRI","P&F | F.A","-0.5%","67.21","390,863"
"1799","Motilal Oswal 5 Year G-Sec ETF","MOGSEC","P&F | F.A","-0.5%","55.7","100"
"684","West Coast Paper Mills Limited","WSTCSTPAPR","P&F | F.A","-0.51%","687.15","51,422"
"1086","Nahar Capital And Financial Services Limited","NAHARCAP","P&F | F.A","-0.51%","312.55","1,900"
"1123","New India Assurance Company Ltd","NIACL","P&F | F.A","-0.51%","286.58","2,365,284"
"1422","Kokuyo Camlin Limited","KOKUYOCMLN","P&F | F.A","-0.51%","152.87","56,714"
"1562","Gateway Distriparks Ltd","GATEWAY","P&F | F.A","-0.52%","111.36","672,898"
"400","Bharat Bond ETF - April 2030","EBBETF0430","P&F | F.A","-0.53%","1381.5","7,348"
"1042","Go Digit General Insurance Ltd","GODIGIT","P&F | F.A","-0.53%","340","145,763"
"1550","Avro India Ltd","AVROIND","P&F | F.A","-0.53%","115.38","894"
"1597","Emami Realty Ltd","EMAMIREAL","P&F | F.A","-0.53%","98.62","14,942"
"1775","Sigachi Industries Ltd","SIGACHI","P&F | F.A","-0.53%","60.62","312,615"
"266","Raymond Limited","RAYMOND","P&F | F.A","-0.54%","2090","187,178"
"999","Advanced Enzyme Technologies Limited","ADVENZYMES","P&F | F.A","-0.54%","374.35","67,304"
"398","Cheviot Company Ltd","CHEVIOT","P&F | F.A","-0.55%","1385.35","1,538"
"761","Mahindra Lifespace Developers Limited","MAHLIFE","P&F | F.A","-0.55%","598.05","30,144"
"1314","Tourism Finance Corporation Of India Limited","TFCILTD","P&F | F.A","-0.55%","197.16","222,546"
"1319","Borosil Scientific Ltd","BOROSCI","P&F | F.A","-0.55%","196.04","32,709"
"1324","The Federal Bank  Limited","FEDERALBNK","P&F | F.A","-0.55%","194.41","1,921,896"
"555","Ttk Prestige Limited","TTKPRESTIG","P&F | F.A","-0.56%","873.45","16,875"
"818","Harsha Engineers International Ltd","HARSHA","P&F | F.A","-0.56%","538.9","43,701"
"928","Lokesh Machines Limited","LOKESHMACH","P&F | F.A","-0.56%","435","15,182"
"1258","Dhampur Sugar Mills Limited","DHAMPURSUG","P&F | F.A","-0.56%","223.74","141,667"
"1506","Autoline Industries Limited","AUTOIND","P&F | F.A","-0.56%","127.41","47,912"
"165","Computer Age Management Services Ltd","CAMS","P&F | F.A","-0.57%","4047","69,419"
"260","Mankind Pharma Ltd","MANKIND","P&F | F.A","-0.57%","2140.15","55,803"
"728","Rural Electrification Corporation Limited","RECLTD","P&F | F.A","-0.57%","633.7","2,875,254"
"1083","Greenpanel Industries Ltd","GREENPANEL","P&F | F.A","-0.57%","315.25","46,923"
"1662","Brooks Laboratories Limited","BROOKS","P&F | F.A","-0.57%","84.3","18,818"
"478","Bajaj Electricals Limited","BAJAJELEC","P&F | F.A","-0.58%","1057.85","7,889"
"789","Century Enka Limited","CENTENKA","P&F | F.A","-0.58%","568.3","4,087"
"976","Jai Corp Limited","JAICORPLTD","P&F | F.A","-0.58%","389.05","386,703"
"1413","Western India Plywoods Ltd","WIPL","P&F | F.A","-0.58%","157.13","1,966"
"1715","Rajshree Polypack Ltd","RPPL","P&F | F.A","-0.58%","73.7","46,764"
"171","The Phoenix Mills Limited","PHOENIXLTD","P&F | F.A","-0.59%","3879.9","147,594"
"712","Deccan Cements Limited","DECCANCE","P&F | F.A","-0.59%","652.9","5,528"
"891","Dreamfolks Services Ltd","DREAMFOLKS","P&F | F.A","-0.59%","472.55","35,385"
"969","Mangalam Organics Ltd","MANORG","P&F | F.A","-0.59%","396.7","1,011"
"1404","Aditya Birla Money Limited","BIRLAMONEY","P&F | F.A","-0.59%","160.77","106,350"
"299","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","-0.6%","1835.6","50,018"
"601","Pnb Housing Finance Limited","PNBHOUSING","P&F | F.A","-0.6%","805","114,581"
