"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"619","CENENK","EQ","CENTURY ENKA LTD",0.01,1,"","",0,10,"INE485A01015",666,377.75,675,26,"","","",0,0,0,700.25,466.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CENTENKA"
"6195","IIFL29","NK","0% IIFL Finance Ltd. Oct 24",0.01,1,"","",0,1000,"INE530B07153",0,0,1214.25,830.2,"","","",0,0,0,1483.26,988.84,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IIFLZC24"
"6197","IIFL30","NL","8.42% IIFL Finance Ltd. Oct 26",0.01,1,"","",0,1000,"INE530B07161",0,0,1000,826.8,"","","",0,0,0,1125.6,750.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","842IIFL26"
"6198","FINCHE","EQ","FINEOTEX CHEMICAL LIMITED",0.01,1,"","",0,2,"INE045J01026",458.85,266,458.85,12.45,"","","",0,0,0,458.2,305.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","FCL"
"6200","IIFL31","NM","8.75% IIFL Finance Ltd. Oct 26",0.01,1,"","",0,1000,"INE530B07179",0,0,1076,846.9,"","","",0,0,0,1245.6,830.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","875IIFL26"
"6207","IIFL32","NN","0% IIFL Finance Ltd. Oct 26",0.01,1,"","",0,1000,"INE530B07187",0,0,1392.84,848.2,"","","",0,0,0,1428,952,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IIFLZC26"
"6216","CAMFIN","EQ","CAMLIN FINE SCIENCES LIMITED",0.01,1,"","",0,1,"INE052I01032",186.35,79.95,230.8,33,"","","",0,0,0,126.3,84.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAMLINFINE"
"6217","TYJ22C","GS","364 DAY T-BILL 20 OCT 22",0.01,1,"","",0,100,"IN002021Z301",0,0,0,0,"","","",0,0,0,0,0,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D201022"
"6226","SIKIND","BE","SIKKO INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE112X01017",118,54.55,138.4,6,"","","",0,0,0,99.8,90.29,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SIKKO"
"6227","DHUTE","EQ","DHUNSERI TEA & INDUSTRIES LTD",0.01,1,"","",0,10,"INE341R01014",275,174.9,399.97,60,"","","",0,0,0,251.85,167.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DTIL"
"6228","MILPLA","BE","MPL PLASTICS LIMITED",0.01,1,"","",0,10,"INE343A01016",0,0,90,6.25,"","","",0,0,0,16.08,10.72,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MILTONPLAS"
"6232","3IINFO","EQ","3I INFOTECH LIMITED",0.01,1,"","",0,10,"INE748C01038",63.9,30.25,1642,11.5,"","","",0,0,0,48.5,32.33,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","3IINFOLTD"
"6248","PREAU","BE","PREMIER LIMITED",0.01,1,"","",0,10,"INE342A01018",4.79,1.85,214.2,1.25,"","","",0,0,0,5.27,4.76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PREMIER"
"6249","DKENTE","SM","D K ENTERPRISES GLOBAL LIMITED",0.01,1,"","",0,10,"INE0GN101014",0,0,104.7,31.9,"","","",0,0,0,98.25,65.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DKEGL"
"625","CENTEX","EQ","CENTURY TEXTILES & INDUSTRIES",0.01,1,"","",0,10,"INE055A01016",2420,884.2,2420,20.55,"","","",0,0,0,2672.25,1781.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CENTURYTEX"
"6255","ESCFIN","BE","INVIGORATED BIZ. CONS. LTD",0.01,1,"","",0,10,"INE359A01012",0,0,47,2.5,"","","",0,0,0,3.65,2.45,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INVIGO"
"6262","SELMAN","EQ","SEL MANUFACTURING COMPANY LIMI",0.01,1,"","",0,10,"INE105I01020",132.65,59,1975.8,0.04,"","","",0,0,0,64.92,53.11,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SELMC"
"6267","NAHINT","BE","NAHAR INTERNATIONAL LTD",0.01,1,"","",0,10,"INE360A01010",19.7,7,95,1.1,"","","",0,0,0,18,12,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NAHARINTL"
"6278","MEDBIO","EQ","MEDICAMEN BIOTECH LTD",0.01,1,"","",0,10,"INE646B01010",845,355.45,1225,355.45,"","","",0,0,0,573,382,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MEDICAMEQ"
"628","CESC","EQ","CESC LIMITED",0.01,1,"","",0,1,"INE486A01021",171.2,72.8,171.2,0.9,"","","",0,0,0,206.48,137.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CESC"
"6286","GULPOL","EQ","GULSHAN POLYOLS LTD",0.01,1,"","",0,1,"INE255D01024",269.45,159.9,354.17,16.33,"","","",0,0,0,253.8,169.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GULPOLY"
"6287","KESPP1","E1","KESORAM IND LTD EQ PP RS. 5",0.01,1,"","",0,10,"IN9087A01017",0,0,40.3,27,"","","",0,0,0,34.05,22.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KILPP"
"6297","ADIHEA","EQ","ADITYA BIR SUN  NIF HEALTH ETF",0.01,1,"","",0,1,"INF209KB10C2",13.25,8.27,13.25,6.55,"","","",0,0,0,15.87,10.58,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HEALTHY"
"6302","APOSI","EQ","APOLLO SINDOORI HOTELS LIMITED",0.01,1,"","",0,5,"INE451F01024",2652,1270,2652,66.25,"","","",0,0,0,1773,1182,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","APOLSINHOT"
"6313","MAASOF","EQ","MAARS SOFTWARE INTERNATIONAL L",0.01,1,"","",0,10,"INE390A01017",5.05,1.1,549.9,1.1,"","","",0,0,0,1.7,1.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MAARSOFTW"
"6330","IDBBAN","EQ","NA",0.01,1,"","",0,10,"INE307A01011",83.3,33,83.3,12.67,"","","",0,0,0,70.75,47.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IDBIBANK"
"634","IGAMOT","EQ","IGARASHI MOTORS INDIA LIMITED",0.01,1,"","",0,10,"INE188B01013",692.5,402,1000.83,5.87,"","","",0,0,0,599.2,399.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","IGARASHI"
"6353","MIRETF","EQ","MIRAE ASSET NIFTY 50 ETF",0.01,1,"","",0,100,"INF769K01EG9",266.15,198.94,247.3,75.1,"","","",0,0,0,310.02,206.68,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NIFTYETF"
"6356","PANCOR","BE","PAN INDIA CORPORATION LTD",0.01,1,"","",0,10,"INE376A01032",0.45,0.2,23.85,0.15,"","","",0,0,0,0.3,0.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SRGINFOTEC"
"6364","NATALU","EQ","NATIONAL ALUMINIUM CO LTD",0.01,1,"","",0,5,"INE139A01034",206.3,82.65,206.3,3.75,"","","",0,0,0,226.94,185.67,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NATIONALUM"
"6367","TYJ22D","GS","364 DAY T-BILL 27 OCT 22",0.01,1,"","",0,100,"IN002021Z319",0,0,0,0,"","","",0,0,0,0,0,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","364D271022"
"637","CHAFER","EQ","CHAMBAL FERTILISERS & CHEMICAL",0.01,1,"","",0,10,"INE085A01013",574.35,250.05,574.35,9.25,"","","",0,0,0,587.7,480.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CHAMBLFERT"
"6383","THIARO","BE","THIRU AROORAN SUGARS INDUSTRIE",0.01,1,"","",0,10,"INE409A01015",39.9,11.1,616,2.55,"","","",0,0,0,7.1,6.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","THIRUSUGAR"
"6387","TUTALK","BE","TUTICORIN ALKALI CHEMICALS & F",0.01,1,"","",0,10,"INE400A01014",0,0,53,5.75,"","","",0,0,0,7.2,4.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TUTICORALK"
"6403","COUCLU","BE","COUNTRY CLUB HOSP. & HOLIDAYS",0.01,1,"","",0,2,"INE652F01027",24.64,6.35,29.56,1.7,"","","",0,0,0,29.08,26.31,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CCHHL"
"6407","LAMTEX","EQ","LAMBODHARA TEXTILES LTD",0.01,1,"","",0,5,"INE112F01022",209.85,128.15,559.95,16.2,"","","",0,0,0,194.96,129.97,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LAMBODHARA"
"641","DILMED","EQ","DILIGENT MEDIA CORPORATION LTD",0.01,1,"","",0,1,"INE016M01021",6.8,2.75,14.4,0.2,"","","",0,0,0,5.67,5.13,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DNAMEDIA"
"6417","KRIIND","EQ","KRITI INDUSTRIES (INDIA) LTD",0.01,1,"","",0,1,"INE479D01038",211,88.4,211,3.1,"","","",0,0,0,215.71,176.49,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KRITI"
"6428","MANORG","BE","MANGALAM ORGANICS LIMITED",0.01,1,"","",0,10,"INE370D01013",479,270,1299,270,"","","",0,0,0,434.45,393.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","MANORG"
